chip x0 y0 channel x y
1 66.97 22.73 41 75.265 8.905
1 66.97 22.73 35 75.265 3.375
1 66.97 22.73 46 69.735 42.085
1 66.97 22.73 43 69.735 36.555
1 66.97 22.73 37 69.735 31.025
1 66.97 22.73 40 69.735 25.495
1 66.97 22.73 36 69.735 19.965
1 66.97 22.73 33 69.735 14.435
1 66.97 22.73 32 69.735 8.905
1 66.97 22.73 31 69.735 3.375
1 66.97 22.73 34 64.205 42.085
1 66.97 22.73 29 64.205 36.555
1 66.97 22.73 23 64.205 31.025
1 66.97 22.73 20 64.205 25.495
1 66.97 22.73 30 64.205 19.965
1 66.97 22.73 27 64.205 14.435
1 66.97 22.73 28 64.205 8.905
1 66.97 22.73 25 64.205 3.375
1 66.97 22.73 26 58.675 42.085
1 66.97 22.73 17 58.675 36.555
1 66.97 22.73 11 58.675 31.025
1 66.97 22.73 4 58.675 25.495
1 66.97 22.73 18 58.675 19.965
1 66.97 22.73 15 58.675 14.435
1 66.97 22.73 13 58.675 8.905
1 66.97 22.73 19 58.675 3.375
1 66.97 22.73 14 53.145 42.085
1 66.97 22.73 24 53.145 36.555
1 66.97 22.73 8 53.145 31.025
1 66.97 22.73 5 53.145 25.495
1 66.97 22.73 12 53.145 19.965
1 66.97 22.73 3 53.145 14.435
1 66.97 22.73 22 53.145 8.905
1 66.97 22.73 7 53.145 3.375
1 66.97 22.73 0 47.615 42.085
1 66.97 22.73 1 47.615 36.555
1 66.97 22.73 2 47.615 31.025
1 66.97 22.73 6 47.615 25.495
1 66.97 22.73 21 47.615 19.965
1 66.97 22.73 9 47.615 14.435
1 66.97 22.73 10 47.615 8.905
1 66.97 22.73 16 47.615 3.375
2 22.73 66.97 16 42.085 86.325
2 22.73 66.97 10 42.085 80.795
2 22.73 66.97 9 42.085 75.265
2 22.73 66.97 21 42.085 69.735
2 22.73 66.97 6 42.085 64.205
2 22.73 66.97 2 42.085 58.675
2 22.73 66.97 1 42.085 53.145
2 22.73 66.97 0 42.085 47.615
2 22.73 66.97 7 36.555 86.325
2 22.73 66.97 22 36.555 80.795
2 22.73 66.97 3 36.555 75.265
2 22.73 66.97 12 36.555 69.735
2 22.73 66.97 5 36.555 64.205
2 22.73 66.97 8 36.555 58.675
2 22.73 66.97 24 36.555 53.145
2 22.73 66.97 14 36.555 47.615
2 22.73 66.97 19 31.025 86.325
2 22.73 66.97 13 31.025 80.795
2 22.73 66.97 15 31.025 75.265
2 22.73 66.97 18 31.025 69.735
2 22.73 66.97 4 31.025 64.205
2 22.73 66.97 11 31.025 58.675
2 22.73 66.97 17 31.025 53.145
2 22.73 66.97 26 31.025 47.615
2 22.73 66.97 25 25.495 86.325
2 22.73 66.97 28 25.495 80.795
2 22.73 66.97 27 25.495 75.265
2 22.73 66.97 30 25.495 69.735
2 22.73 66.97 20 25.495 64.205
2 22.73 66.97 23 25.495 58.675
2 22.73 66.97 29 25.495 53.145
2 22.73 66.97 34 25.495 47.615
2 22.73 66.97 31 19.965 86.325
2 22.73 66.97 32 19.965 80.795
2 22.73 66.97 33 19.965 75.265
2 22.73 66.97 36 19.965 69.735
2 22.73 66.97 40 19.965 64.205
2 22.73 66.97 37 19.965 58.675
2 22.73 66.97 43 19.965 53.145
2 22.73 66.97 46 19.965 47.615
2 22.73 66.97 35 14.435 86.325
2 22.73 66.97 41 14.435 80.795
2 22.73 66.97 45 14.435 75.265
2 22.73 66.97 48 14.435 69.735
2 22.73 66.97 42 14.435 64.205
2 22.73 66.97 49 14.435 58.675
2 22.73 66.97 52 14.435 53.145
2 22.73 66.97 59 14.435 47.615
2 22.73 66.97 38 8.905 86.325
2 22.73 66.97 44 8.905 80.795
2 22.73 66.97 50 8.905 75.265
2 22.73 66.97 54 8.905 69.735
2 22.73 66.97 58 8.905 64.205
2 22.73 66.97 63 8.905 58.675
2 22.73 66.97 55 8.905 53.145
2 22.73 66.97 62 8.905 47.615
2 22.73 66.97 47 3.375 86.325
2 22.73 66.97 53 3.375 80.795
2 22.73 66.97 60 3.375 75.265
2 22.73 66.97 39 3.375 69.735
2 22.73 66.97 56 3.375 64.205
2 22.73 66.97 57 3.375 58.675
2 22.73 66.97 51 3.375 53.145
2 22.73 66.97 61 3.375 47.615
3 22.73 22.73 61 42.085 42.085
3 22.73 22.73 51 42.085 36.555
3 22.73 22.73 57 42.085 31.025
3 22.73 22.73 56 42.085 25.495
3 22.73 22.73 39 42.085 19.965
3 22.73 22.73 60 42.085 14.435
3 22.73 22.73 53 42.085 8.905
3 22.73 22.73 47 42.085 3.375
3 22.73 22.73 62 36.555 42.085
3 22.73 22.73 55 36.555 36.555
3 22.73 22.73 63 36.555 31.025
3 22.73 22.73 58 36.555 25.495
3 22.73 22.73 54 36.555 19.965
3 22.73 22.73 50 36.555 14.435
3 22.73 22.73 44 36.555 8.905
3 22.73 22.73 38 36.555 3.375
3 22.73 22.73 59 31.025 42.085
3 22.73 22.73 52 31.025 36.555
3 22.73 22.73 49 31.025 31.025
3 22.73 22.73 42 31.025 25.495
3 22.73 22.73 48 31.025 19.965
3 22.73 22.73 45 31.025 14.435
3 22.73 22.73 41 31.025 8.905
3 22.73 22.73 35 31.025 3.375
3 22.73 22.73 46 25.495 42.085
3 22.73 22.73 43 25.495 36.555
3 22.73 22.73 37 25.495 31.025
